Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,430.399994,433.160004,426.200012,430.920013,2253300,430.920013
2015-05-29,427.230011,432.50,427.230011,429.230011,3016100,429.230011
2015-05-28,429.709991,431.350006,425.470001,426.570007,1912400,426.570007
2015-05-27,427.450012,431.850006,425.01001,431.420013,2231100,431.420013
2015-05-26,426.200012,427.00,422.00,425.470001,2244200,425.470001
2015-05-22,431.549988,432.440002,427.609985,427.630005,2020600,427.630005
2015-05-21,428.00,436.899994,428.00,431.630005,4121400,431.630005
2015-05-20,420.600006,427.100006,418.359985,423.859985,2196200,423.859985
2015-05-19,424.869995,428.23999,420.630005,421.709991,2464200,421.709991
2015-05-18,426.00,427.269989,421.459991,425.23999,2390200,425.23999
2015-05-15,428.00,430.399994,424.299988,426.00,4240300,426.00
2015-05-14,429.450012,433.00,427.01001,432.279999,1888500,432.279999
2015-05-13,429.980011,433.529999,425.799988,426.869995,1996300,426.869995
2015-05-12,431.079987,433.25,426.709991,431.019989,1947800,431.019989
2015-05-11,432.51001,439.00,431.369995,432.850006,2393700,432.850006
2015-05-08,430.75,435.200012,430.170013,433.690002,2908800,433.690002
2015-05-07,424.149994,428.50,422.850006,426.880005,2766100,426.880005
2015-05-06,421.429993,422.720001,414.549988,419.100006,2552500,419.100006
2015-05-05,422.850006,427.51001,421.019989,421.190002,2856400,421.190002
2015-05-04,424.799988,429.769989,422.420013,423.040009,2270400,423.040009
2015-05-01,423.820007,425.640015,416.00,422.869995,3565800,422.869995
2015-04-30,427.109985,431.75,419.23999,421.779999,3647900,421.779999
2015-04-29,426.75,434.23999,426.029999,429.369995,3621700,429.369995
2015-04-28,438.51001,439.00,428.040009,429.309998,4140500,429.309998
2015-04-27,443.859985,446.98999,437.410004,438.559998,5430900,438.559998
2015-04-24,439.00,452.649994,439.00,445.100006,17176900,445.100006
2015-04-23,390.209991,391.880005,386.149994,389.98999,7980000,389.98999
2015-04-22,391.910004,394.279999,388.00,389.799988,3474700,389.799988
2015-04-21,391.309998,394.600006,386.799988,391.179993,4643500,391.179993
2015-04-20,378.549988,391.940002,377.00,389.51001,5016100,389.51001
2015-04-17,382.630005,383.559998,374.399994,375.559998,3839700,375.559998
2015-04-16,383.690002,387.450012,383.549988,386.040009,2080400,386.040009
2015-04-15,384.649994,385.779999,381.640015,383.450012,1933200,383.450012
2015-04-14,383.51001,387.809998,381.209991,385.109985,2583600,385.109985
2015-04-13,383.529999,385.279999,380.140015,382.359985,1894500,382.359985
2015-04-10,384.309998,387.119995,381.320007,382.649994,2573500,382.649994
2015-04-09,380.660004,384.420013,378.799988,383.540009,2392300,383.540009
2015-04-08,374.660004,381.579987,374.649994,381.200012,2636400,381.200012
2015-04-07,376.149994,379.309998,374.029999,374.410004,1954900,374.410004
2015-04-06,370.100006,380.200012,369.359985,377.040009,3050700,377.040009
2015-04-02,370.50,373.279999,369.00,372.25,1875300,372.25
2015-04-01,372.100006,373.160004,368.339996,370.26001,2458100,370.26001
2015-03-31,373.23999,377.700012,371.51001,372.100006,2506100,372.100006
2015-03-30,371.869995,376.119995,371.549988,374.589996,1820900,374.589996
2015-03-27,367.109985,373.170013,366.570007,370.559998,2609800,370.559998
2015-03-26,369.589996,371.399994,365.649994,367.350006,2930000,367.350006
2015-03-25,375.170013,380.50,370.290009,370.959991,3429500,370.959991
2015-03-24,373.98999,375.23999,372.269989,374.089996,2228200,374.089996
2015-03-23,378.070007,381.769989,374.940002,375.109985,2239300,375.109985
2015-03-20,376.290009,379.369995,375.920013,378.48999,3763600,378.48999
2015-03-19,373.869995,377.109985,372.190002,373.23999,1915700,373.23999
2015-03-18,369.970001,375.98999,366.700012,375.140015,2654100,375.140015
2015-03-17,371.109985,374.50,369.640015,371.920013,2037000,371.920013
2015-03-16,370.380005,373.940002,366.720001,373.350006,2354100,373.350006
2015-03-13,371.519989,373.98999,366.679993,370.579987,2611700,370.579987
2015-03-12,368.820007,375.50,367.519989,374.23999,2810000,374.23999
2015-03-11,370.609985,373.350006,366.26001,366.369995,2495100,366.369995
2015-03-10,377.450012,377.769989,369.179993,369.51001,3121000,369.51001
2015-03-09,378.399994,379.329987,375.279999,378.559998,2311400,378.559998
2015-03-06,385.519989,387.00,378.880005,380.089996,2627000,380.089996
2015-03-05,385.609985,388.420013,383.890015,387.829987,2693500,387.829987
2015-03-04,385.709991,387.899994,382.190002,382.720001,2259100,382.720001
2015-03-03,383.950012,386.100006,381.600006,384.609985,1946500,384.609985
2015-03-02,380.850006,385.899994,379.480011,385.660004,2139200,385.660004
2015-02-27,384.00,385.98999,379.790009,380.160004,2532300,380.160004
2015-02-26,384.070007,389.369995,383.279999,384.799988,2687100,384.799988
2015-02-25,377.269989,387.850006,376.540009,385.369995,3174500,385.369995
2015-02-24,378.649994,380.480011,376.160004,378.589996,1920800,378.589996
2015-02-23,383.440002,384.540009,378.00,380.140015,2177000,380.140015
2015-02-20,378.619995,383.700012,375.839996,383.660004,3258000,383.660004
2015-02-19,373.48999,381.880005,373.429993,379.00,2953800,379.00
2015-02-18,373.779999,376.73999,372.850006,373.369995,2650600,373.369995
2015-02-17,377.720001,379.98999,372.670013,375.429993,3673200,375.429993
2015-02-13,378.410004,383.00,377.01001,381.829987,3475100,381.829987
